VoteId,LegislatureNumber,VoteNum,VoteDate,VoteTitle,BillId
19:H0006,19,H0006,1995-01-16,Speaker of the House -- Phillips,
19:H0008,19,H0008,1995-01-17,"HR 1
Second Reading
Final Passage",19:HR   1
19:H0009,19,H0009,1995-01-17,"HR 2
Second Reading
Final Passage",19:HR   2
19:H0010,19,H0010,1995-01-17,"HR 3
Second Reading
Final Passage",19:HR   3
19:H0011,19,H0011,1996-01-11,"CSSB 14(JUD)
Override Veto",19:SB  14
19:H0012,19,H0012,1996-01-11,"SCS CSHB 44(FIN)
Override Veto",19:HB  44
19:H0013,19,H0013,1996-01-11,"SCS CSHB 268(FIN) am S (reengrossed)
Override Line Item Reduction in Section 103",19:HB 268
19:H0014,19,H0014,1996-01-11,"CSHB 217(L&C) am (efd fld)
Override Veto",19:HB 217
19:H0015,19,H0015,1996-01-11,"HCS CSSB 16(FIN)
Override Veto",19:SB  16
19:H0016,19,H0016,1995-01-18,"Select Committee on Legislative Ethics
Confirm Representative Mackie",
19:H0020,19,H0020,1996-01-19,"SB 166 am
Third Reading
Final Passage",19:SB 166
19:H0021,19,H0021,1996-01-19,"Select Committee on Legislative Ethics
Confirm Edith Voderstrasse",
19:H0022,19,H0022,1996-01-19,"Select Committee on Legislative Ethics
Confirm Joseph Donahue",
19:H0024,19,H0024,1995-01-26,"HCR 7
Second Reading
Amendment No. 1",19:HCR  7
19:H0025,19,H0025,1995-01-26,"HCR 7
Second Reading
Final Passage",19:HCR  7
19:H0026,19,H0026,1995-01-26,HCR 7 - Reconsideration Hold to January 30,19:HCR  7
19:H0028,19,H0028,1996-01-31,"HB 57
Third Reading
Final Passage",19:HB  57
19:H0029,19,H0029,1996-01-31,"HCS CSSB 84(FIN)
Third Reading
Final Passage",19:SB  84
19:H0031,19,H0031,1996-02-02,"CSHB 210(STA) am
Second Reading
Amendment No. 2",19:HB 210
19:H0032,19,H0032,1996-02-02,"CSHB 210(STA) am
Second Reading
Amendment No. 3",19:HB 210
19:H0034,19,H0034,1996-02-05,"CSHB 210(STA) am
Third Reading
Final Passage",19:HB 210
19:H0035,19,H0035,1995-02-01,"HCR 4--RECONSIDERATION
Second Reading
Final Passage",19:HCR  4
19:H0036,19,H0036,1996-02-07,"CSHB 212(FIN)
Second Reading
Amendment No. 1",19:HB 212
19:H0037,19,H0037,1996-02-07,"CSHB 212(FIN)
Second Reading
Amendment No. 2",19:HB 212
19:H0038,19,H0038,1996-02-07,"CSHB 212(FIN)
Second Reading
Amendment No. 3",19:HB 212
19:H0039,19,H0039,1996-02-07,"CSHB 212(FIN)
Second Reading
Amendment No. 4",19:HB 212
19:H0040,19,H0040,1996-02-07,"CSHB 212(FIN)
Second Reading
Amendment No. 5",19:HB 212
19:H0041,19,H0041,1996-02-07,"CSHB 212(FIN)
Second Reading
Amendment No. 6",19:HB 212
19:H0042,19,H0042,1996-02-07,"CSHB 212(FIN)
Second Reading
Amendment No. 7",19:HB 212
19:H0043,19,H0043,1996-02-07,"CSHB 212(FIN)
Second Reading
Amendment No. 8",19:HB 212
19:H0044,19,H0044,1996-02-07,"CSHB 212(FIN)
Second Reading
Amendment No. 9",19:HB 212
19:H0045,19,H0045,1996-02-07,"CSHB 212(FIN)
Second Reading
Amendment No. 10",19:HB 212
19:H0046,19,H0046,1996-02-07,"CSHB 308(JUD)
Second Reading
Amendment No. 1",19:HB 308
19:H0047,19,H0047,1996-02-07,"CSHCR 24(L&C)
Second Reading
Final Passage",19:HCR 24
19:H0048,19,H0048,1996-02-07,"CSHB 210(STA) am--RECONSIDERATION
Third Reading
Final Passage",19:HB 210
19:H0049,19,H0049,1995-02-08,"HCR 5
Second Reading
Final Passage",19:HCR  5
19:H0050,19,H0050,1996-02-09,"CSHB 212(FIN)
Third Reading
Final Passage",19:HB 212
19:H0051,19,H0051,1996-02-09,"CSHB 308(JUD)
Third Reading
Final Passage",19:HB 308
19:H0052,19,H0052,1996-02-09,"CSHB 314(JUD) am
Third Reading
Final Passage",19:HB 314
19:H0053,19,H0053,1995-02-10,"HB 121
Second Reading
Return to Resources Committee",19:HB 121
19:H0054,19,H0054,1995-02-10,"HB 121
Second Reading
Amendment No. 1",19:HB 121
19:H0055,19,H0055,1996-02-12,"CSHB 25(FIN)
Second Reading
Advance to Third Reading",19:HB  25
19:H0056,19,H0056,1996-02-12,"HB 333
Second Reading
Advance to Third Reading",19:HB 333
19:H0057,19,H0057,1996-02-12,"CSHB 379(JUD)
Third Reading
Final Passage",19:HB 379
19:H0058,19,H0058,1996-02-12,"HB 392 am
Third Reading
Final Passage",19:HB 392
19:H0059,19,H0059,1996-02-12,"CSHB 419(STA)
Third Reading
Final Passage",19:HB 419
19:H0060,19,H0060,1995-02-10,"HB 121
Second Reading
Amendment No. 7",19:HB 121
19:H0061,19,H0061,1995-02-10,"HB 121
Second Reading
Amendment No. 8",19:HB 121
19:H0062,19,H0062,1995-02-10,"HB 121
Second Reading
Amendment No. 10",19:HB 121
19:H0063,19,H0063,1996-02-14,"CSHB 382(STA)
Second Reading
Advance to Third Reading",19:HB 382
19:H0064,19,H0064,1996-02-14,"CSHB 404(STA)
Second Reading
Advance to Third Reading",19:HB 404
19:H0065,19,H0065,1996-02-14,"SB 160 am
Second Reading
Advance to Third Reading",19:SB 160
19:H0066,19,H0066,1996-02-14,"CSHB 25(FIN)
Third Reading
Final Passage",19:HB  25
19:H0067,19,H0067,1996-02-14,"HB 333
Third Reading
Final Passage",19:HB 333
19:H0068,19,H0068,1996-02-14,"SCS CSHJR 38(RLS) am S
Concur",19:HJR 38
19:H0069,19,H0069,1996-02-14,"SCS CSHB 224(L&C)
Concur",19:HB 224
19:H0072,19,H0072,1996-02-15,"CSHB 321(MLV)
Third Reading
Final Passage",19:HB 321
19:H0073,19,H0073,1996-02-15,"CSHB 370(JUD)
Third Reading
Final Passage",19:HB 370
19:H0074,19,H0074,1996-02-15,"CSHB 382(STA)
Third Reading
Final Passage",19:HB 382
19:H0075,19,H0075,1996-02-15,"CSHB 404(STA)
Third Reading
Final Passage",19:HB 404
19:H0076,19,H0076,1996-02-15,"SB 160 am
Third Reading
Final Passage",19:SB 160
19:H0077,19,H0077,1995-02-15,Adjourn Joint Session,
19:H0078,19,H0078,1995-02-15,Postpone to 2/20,
19:H0079,19,H0079,1995-02-15,Uphold Ruling of the Chair,
19:H0080,19,H0080,1995-02-15,Adopt the post-session appointments,
19:H0081,19,H0081,1996-02-19,"CSSB 190(RES) am
Third Reading
Final Passage",19:SB 190
19:H0082,19,H0082,1996-02-19,"CSHJR 52(JUD) am
Third Reading
Final Passage",19:HJR 52
19:H0083,19,H0083,1996-02-19,"CSSB 190(RES) am--RECONSIDERATION
Third Reading
Final Passage",19:SB 190
19:H0084,19,H0084,1996-02-19,"CSHB 370(JUD)--RECONSIDERATION
Third Reading
Final Passage",19:HB 370
19:H0085,19,H0085,1995-02-20,"HJR 27 am
Second Reading
Amendment No. 2",19:HJR 27
19:H0086,19,H0086,1995-02-20,"HJR 27 am
Third Reading
Final Passage",19:HJR 27
19:H0087,19,H0087,1995-02-20,"CSHJR 29(FIN) am--RECONSIDERATION
Third Reading
Final Passage",19:HJR 29
19:H0089,19,H0089,1996-02-21,"HB 172(efd am)
Second Reading
Amendment No. 4",19:HB 172
19:H0090,19,H0090,1996-02-21,"HB 172 am
Second Reading
Amendment No. 5",19:HB 172
19:H0091,19,H0091,1996-02-21,"CSHB 272(FIN)
Third Reading
Final Passage",19:HB 272
19:H0092,19,H0092,1996-02-21,"CSHB 459(JUD) am
Third Reading
Final Passage",19:HB 459
19:H0093,19,H0093,1995-02-22,"SCS CSHCR 1(STA) am S
Concur",19:HCR  1
19:H0095,19,H0095,1996-02-22,"CSHB 468(FIN) am
Second Reading
Amendment No. 2",19:HB 468
19:H0096,19,H0096,1996-02-22,"HB 172 am
Third Reading
Final Passage",19:HB 172
19:H0097,19,H0097,1995-02-27,"CSHCR 9(TRA)
Second Reading
Final Passage",19:HCR  9
19:H0098,19,H0098,1995-02-27,"CSSJR 6(RES)
Third Reading
Final Passage",19:SJR  6
19:H0100,19,H0100,1996-02-26,"CSHB 468(FIN) am
Third Reading
Final Passage",19:HB 468
19:H0101,19,H0101,1996-02-26,"HB 172 am--RECONSIDERATION
Third Reading
Final Passage",19:HB 172
19:H0102,19,H0102,1996-02-26,"FCCS SB 123
Adopt",19:SB 123
19:H0103,19,H0103,1995-03-01,"CSHJR 5(FIN)
Second Reading
Amendment No. 2",19:HJR  5
19:H0104,19,H0104,1995-03-01,"CSHJR 5(FIN) am
Second Reading
Amendment No. 3",19:HJR  5
19:H0105,19,H0105,1995-03-01,"CSHJR 5(FIN) am
Second Reading
Advance to Third Reading",19:HJR  5
19:H0106,19,H0106,1996-02-28,"HB 369
Third Reading
Final Passage",19:HB 369
19:H0107,19,H0107,1996-02-28,"CSHB 307(FIN)
Second Reading
Amendment No. 1",19:HB 307
19:H0108,19,H0108,1996-02-28,"CSHB 307(FIN)
Second Reading
Amendment No. 2",19:HB 307
19:H0109,19,H0109,1996-02-28,"CSHB 307(FIN)
Second Reading
Amendment No. 3",19:HB 307
19:H0110,19,H0110,1996-02-28,"CSHB 307(FIN)
Second Reading
Amendment No. 4",19:HB 307
19:H0111,19,H0111,1996-02-28,"CSHB 307(FIN)
Second Reading
Amendment No. 5",19:HB 307
19:H0112,19,H0112,1996-02-28,"CSHB 307(FIN)
Second Reading
Amendment No. 6",19:HB 307
19:H0113,19,H0113,1996-02-28,"CSHB 307(FIN)
Second Reading
Amendment No. 7",19:HB 307
19:H0114,19,H0114,1996-02-28,"CSHB 307(FIN)
Second Reading
Amendment No. 8",19:HB 307
19:H0115,19,H0115,1996-02-28,"CSHB 307(FIN)
Second Reading
Advance to Third Reading",19:HB 307
19:H0116,19,H0116,1996-02-28,"HB 226
Second Reading
Adopt Finance CS",19:HB 226
19:H0117,19,H0117,1996-02-28,"CSHB 226(FIN) am
Second Reading
Amendment No. 4",19:HB 226
19:H0118,19,H0118,1996-02-28,"CSHB 226(FIN) am
Second Reading
Advance to Third Reading",19:HB 226
19:H0119,19,H0119,1996-02-28,"CSHB 32(FIN) am S
Concur",19:HB  32
19:H0120,19,H0120,1996-02-28,"SCR 26
Special Order of Business
Take up at this time",19:SCR 26
19:H0121,19,H0121,1996-02-28,"SCR 26
Take up as Special Order of Business--Reconsi
Reconsideration same day",19:SCR 26
19:H0122,19,H0122,1996-02-28,"SCR 26
Take up as Special Order of Business--Reconsi",19:SCR 26
19:H0123,19,H0123,1996-02-28,"SCR 26
Second Reading
Final Passage",19:SCR 26
19:H0124,19,H0124,1996-02-28,"HSCR 1
Waive from Finance Committee",19:HSCR 1
19:H0125,19,H0125,1995-03-06,"CSHB 137(FIN)
Second Reading
Amendment No. 7",19:HB 137
19:H0126,19,H0126,1995-03-06,"CSHB 137(FIN)
Second Reading
Amendment No. 8",19:HB 137
19:H0127,19,H0127,1996-02-29,"SSCR 1
Second Reading
Final Passage",19:SSCR 1
19:H0128,19,H0128,1996-02-29,"SSCR 2
Second Reading
Final Passage",19:SSCR 2
19:H0129,19,H0129,1996-02-29,"SSCR 3
Second Reading
Final Passage",19:SSCR 3
19:H0130,19,H0130,1995-03-06,"CSHB 137(FIN)
Second Reading
Amendment No. 12",19:HB 137
19:H0131,19,H0131,1996-02-29,"CSHB 322(FIN)
Third Reading
Final Passage",19:HB 322
19:H0132,19,H0132,1996-02-29,"HB 361
Third Reading
Final Passage",19:HB 361
19:H0133,19,H0133,1996-02-29,"CSHB 241(STA)
Third Reading
Final Passage",19:HB 241
19:H0134,19,H0134,1996-02-29,"CSHB 307(FIN)
Third Reading
Final Passage",19:HB 307
19:H0135,19,H0135,1996-02-29,"CSHB 307(FIN)
Third Reading
Effective Date",19:HB 307
19:H0136,19,H0136,1996-02-29,"CSHB 226(FIN) am
Third Reading
Final Passage",19:HB 226
19:H0137,19,H0137,1996-02-29,"SCR 26--RECONSIDERATION
Second Reading
Final Passage",19:SCR 26
19:H0138,19,H0138,1995-03-06,"CSHB 137(FIN)
Second Reading
Amendment No. 20",19:HB 137
19:H0140,19,H0140,1995-03-08,"CSHB 107(FSH)
Third Reading
Final Passage",19:HB 107
19:H0141,19,H0141,1996-03-06,"CSHB 437(FIN)
Third Reading
Final Passage",19:HB 437
19:H0142,19,H0142,1996-03-06,"CSSSHB 397(FIN)
Third Reading
Final Passage",19:HB 397
19:H0143,19,H0143,1996-03-06,"CSHB 357(RES)
Third Reading
Final Passage",19:HB 357
19:H0144,19,H0144,1996-03-06,"CSSSHB 75(FIN)
Third Reading
Final Passage",19:HB  75
19:H0145,19,H0145,1996-03-06,"HB 446 am
Third Reading
Final Passage",19:HB 446
19:H0146,19,H0146,1996-03-06,"CSHB 307(FIN)--RECONSIDERATION
Third Reading
Final Passage",19:HB 307
19:H0147,19,H0147,1996-03-06,"CSHB 307(FIN)--RECONSIDERATION
Third Reading
Effective Date",19:HB 307
19:H0148,19,H0148,1996-03-06,"CSHB 226(FIN) am--RECONSIDERATION
Third Reading
Final Passage",19:HB 226
19:H0149,19,H0149,1995-03-08,"CSHB 137(FIN) am
Third Reading
Final Passage",19:HB 137
19:H0150,19,H0150,1995-03-08,"CSHJR 20(STA)
Second Reading
Advance to Third Reading",19:HJR 20
19:H0151,19,H0151,1996-03-08,"CSHB 211(FIN)
Third Reading
Final Passage",19:HB 211
19:H0152,19,H0152,1996-03-08,"HB 525
Third Reading
Final Passage",19:HB 525
19:H0153,19,H0153,1996-03-08,"HB 352
Third Reading
Final Passage",19:HB 352
19:H0154,19,H0154,1996-03-08,"CSHB 109(JUD)
Third Reading
Final Passage",19:HB 109
19:H0155,19,H0155,1996-03-08,"CSHB 109(JUD)--RECONSIDERATION
Third Reading
Final Passage",19:HB 109
19:H0156,19,H0156,1996-03-08,"SCS CSHB 38(FIN) am S
Concur",19:HB  38
19:H0157,19,H0157,1996-03-08,"SCS CSHB 127(JUD)
Concur",19:HB 127
19:H0158,19,H0158,1996-03-08,"SCS CSHB 38(FIN) am S
Concur
Court Rule Change",19:HB  38
19:H0159,19,H0159,1995-03-09,"SB 47(efd fld)
Third Reading
Final Passage",19:SB  47
19:H0160,19,H0160,1996-03-11,"HB 478
Third Reading
Final Passage",19:HB 478
19:H0161,19,H0161,1996-03-11,"CSHB 179(FSH)
Third Reading
Final Passage",19:HB 179
19:H0162,19,H0162,1996-03-11,"CSHB 249(L&C)
Third Reading
Final Passage",19:HB 249
19:H0163,19,H0163,1996-03-11,"HCS SB 6(CRA)
Third Reading
Final Passage",19:SB   6
19:H0164,19,H0164,1996-03-11,"HCR 27 am
Second Reading
Final Passage",19:HCR 27
19:H0165,19,H0165,1996-03-11,"CSHJR 58(RES)
Second Reading
Amendment No. 1",19:HJR 58
19:H0166,19,H0166,1996-03-11,"CSHJR 58(RES)
Second Reading
Amendment No. 2",19:HJR 58
19:H0167,19,H0167,1996-03-11,"CSHJR 58(RES)
Second Reading
Amendment No. 3",19:HJR 58
19:H0168,19,H0168,1996-03-11,"CSHJR 58(RES)
Second Reading
Amendment No. 4",19:HJR 58
19:H0169,19,H0169,1996-03-11,"SCS CSHB 141(RES)
Concur",19:HB 141
19:H0170,19,H0170,1995-03-10,"CSHJR 22(STA)--RECONSIDERATION
Second Reading
Amendment No. 1",19:HJR 22
19:H0171,19,H0171,1996-03-12,"CSHB 59(RES)
Third Reading
Final Passage",19:HB  59
19:H0172,19,H0172,1996-03-12,"HB 411
Third Reading
Final Passage",19:HB 411
19:H0173,19,H0173,1996-03-12,"CSHJR 58(RES)
Third Reading
Final Passage",19:HJR 58
19:H0174,19,H0174,1995-03-15,"CSHB 86(CRA)(title am)
Third Reading
Final Passage",19:HB  86
19:H0175,19,H0175,1996-03-13,"CSHB 428(FIN) am
Second Reading
Amendment to Amendment No. 2",19:HB 428
19:H0176,19,H0176,1996-03-13,"CSHB 428(FIN) am
Second Reading
Amendment to Amendment No. 3",19:HB 428
19:H0177,19,H0177,1996-03-13,"CSHB 428(FIN) am
Second Reading
Amendment to Amendment No. 4",19:HB 428
19:H0178,19,H0178,1996-03-13,"CSHB 428(FIN) am
Second Reading
Amendment No. 4 as amended",19:HB 428
19:H0179,19,H0179,1996-03-13,"CSHB 428(FIN) am
Second Reading
Amendment No. 5",19:HB 428
19:H0180,19,H0180,1996-03-13,"CSHB 428(FIN) am
Second Reading
Amendment No. 6",19:HB 428
19:H0181,19,H0181,1996-03-13,"CSHB 428(FIN) am
Second Reading
Amendment No. 7",19:HB 428
19:H0182,19,H0182,1996-03-13,"CSHB 428(FIN) am
Second Reading
Amendment No. 8",19:HB 428
19:H0183,19,H0183,1996-03-13,"CSHB 428(FIN) am
Second Reading
Amendment No. 10",19:HB 428
19:H0184,19,H0184,1996-03-13,"CSHB 428(FIN) am
Second Reading
Amendment No. 12",19:HB 428
19:H0185,19,H0185,1996-03-13,"CSHB 428(FIN) am
Second Reading
Amendment No. 15",19:HB 428
19:H0186,19,H0186,1996-03-13,"CSHJR 59(RES)
Second Reading
Advance to Third Reading",19:HJR 59
19:H0187,19,H0187,1996-03-13,"CSHB 59(RES)--RECONSIDERATION
Third Reading
Final Passage",19:HB  59
19:H0189,19,H0189,1996-03-14,"CSHB 229(JUD)
Third Reading
Final Passage",19:HB 229
19:H0190,19,H0190,1996-03-14,"CSHB 229(JUD)
Third Reading
Effective Date",19:HB 229
19:H0191,19,H0191,1996-03-14,"CSHB 60(HES)
Third Reading
Final Passage",19:HB  60
19:H0192,19,H0192,1996-03-14,"CSHB 428(FIN) am
Third Reading
Final Passage",19:HB 428
19:H0193,19,H0193,1996-03-14,"CSHJR 59(RES)
Third Reading
Final Passage",19:HJR 59
19:H0194,19,H0194,1996-03-14,"HCS SB 6(CRA)
Recede",19:SB   6
19:H0195,19,H0195,1996-03-14,"CSHJR 58(RES)--RECONSIDERATION
Third Reading
Final Passage",19:HJR 58
19:H0196,19,H0196,1995-03-22,"HB 173--RECONSIDERATION
Third Reading
Letter of Intent",19:HB 173
19:H0197,19,H0197,1996-03-18,"HB 484
Third Reading
Final Passage",19:HB 484
19:H0198,19,H0198,1996-03-18,"CSHB 520(FIN)
Third Reading
Final Passage",19:HB 520
19:H0199,19,H0199,1996-03-18,"HB 523
Third Reading
Final Passage",19:HB 523
19:H0200,19,H0200,1996-03-18,"HJR 62
Third Reading
Final Passage",19:HJR 62
19:H0201,19,H0201,1996-03-18,"CSHB 428(FIN) am--RECONSIDERATION
Third Reading
Final Passage",19:HB 428
19:H0203,19,H0203,1996-03-19,"CSHB 457(STA)
Third Reading
Final Passage",19:HB 457
19:H0204,19,H0204,1996-03-19,"CSHB 284(FIN)
Third Reading
Final Passage",19:HB 284
19:H0205,19,H0205,1996-03-19,"HB 502
Third Reading
Final Passage",19:HB 502
19:H0206,19,H0206,1996-03-19,"SB 131 am H
Third Reading
Final Passage",19:SB 131
19:H0207,19,H0207,1996-03-19,"SCS CSHB 42(FIN)
Concur",19:HB  42
19:H0208,19,H0208,1995-03-24,"SCS CSHB 137(FIN) am S(efd fld S)
Concur",19:HB 137
19:H0209,19,H0209,1996-03-20,"CSHB 22(FIN)
Third Reading
Final Passage",19:HB  22
19:H0210,19,H0210,1996-03-20,"CSHB 295(2d JUD)
Third Reading
Final Passage",19:HB 295
19:H0211,19,H0211,1996-03-20,"CSHB 319(FIN)
Third Reading
Final Passage",19:HB 319
19:H0212,19,H0212,1996-03-20,"CSHB 311(JUD)
Second Reading
Amendment No. 1",19:HB 311
19:H0213,19,H0213,1996-03-20,"CSHB 311(JUD)
Third Reading
Final Passage",19:HB 311
19:H0214,19,H0214,1995-03-27,"CSHB 158(FIN) am
Second Reading
Amendment No. 5",19:HB 158
19:H0215,19,H0215,1996-03-21,"CSHB 359(JUD) am
Third Reading
Final Passage",19:HB 359
19:H0216,19,H0216,1996-03-21,"CSHB 480(HES)
Third Reading
Final Passage",19:HB 480
19:H0217,19,H0217,1996-03-21,"CSHB 265(FSH)
Third Reading
Final Passage",19:HB 265
19:H0218,19,H0218,1996-03-21,"HB 498
Third Reading
Final Passage",19:HB 498
19:H0219,19,H0219,1996-03-21,"CSHB 386(JUD)
Third Reading
Final Passage",19:HB 386
19:H0220,19,H0220,1996-03-21,"CSHJR 60(RES)
Third Reading
Final Passage",19:HJR 60
19:H0221,19,H0221,1996-03-21,"CSHCR 29(TRA) am
Second Reading
Final Passage",19:HCR 29
19:H0222,19,H0222,1996-03-21,"CSHB 311(JUD)--RECONSIDERATION
Third Reading
Final Passage",19:HB 311
19:H0223,19,H0223,1996-03-21,"CSHB 192(FIN)
Second Reading
Amendment No. 1",19:HB 192
19:H0224,19,H0224,1996-03-21,"CSHB 192(FIN) am
Third Reading
Final Passage",19:HB 192
19:H0225,19,H0225,1996-03-21,"CCS HB 32
Adopt",19:HB  32
19:H0227,19,H0227,1996-03-22,"CSHB 316(FIN)(title am)
Third Reading
Final Passage",19:HB 316
19:H0228,19,H0228,1996-03-22,"HB 365
Third Reading
Final Passage",19:HB 365
19:H0229,19,H0229,1996-03-22,"CSHB 450(FIN)
Third Reading
Final Passage",19:HB 450
19:H0230,19,H0230,1996-03-22,"CSHB 466(FIN) am
Third Reading
Final Passage",19:HB 466
19:H0231,19,H0231,1996-03-22,"SSHB 63
Third Reading
Final Passage",19:HB  63
19:H0232,19,H0232,1996-03-22,"CSHB 517(TRA)
Second Reading
Amendment No. 1",19:HB 517
19:H0233,19,H0233,1996-03-22,"CSHJR 54(RES) am
Third Reading
Final Passage",19:HJR 54
19:H0234,19,H0234,1996-03-22,"CCS SB 6
Adopt",19:SB   6
19:H0235,19,H0235,1996-03-22,"HB 498--RECONSIDERATION
Third Reading
Final Passage",19:HB 498
19:H0236,19,H0236,1995-04-05,"CSHB 46(STA)--RECONSIDERATION
Second Reading
Amendment No. 4",19:HB  46
19:H0237,19,H0237,1996-03-25,"HB 540
Third Reading
Final Passage",19:HB 540
19:H0238,19,H0238,1996-03-25,"HB 30
Third Reading
Final Passage",19:HB  30
19:H0239,19,H0239,1996-03-25,"HB 462 am
Third Reading
Final Passage",19:HB 462
19:H0240,19,H0240,1996-03-25,"CSHB 517(TRA)(title am)
Third Reading
Final Passage",19:HB 517
19:H0241,19,H0241,1996-03-25,"CSHB 465(HES)
Second Reading
Amendment No. 1",19:HB 465
19:H0242,19,H0242,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 2 as amended",19:HB 465
19:H0243,19,H0243,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 4",19:HB 465
19:H0245,19,H0245,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 5",19:HB 465
19:H0246,19,H0246,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 7",19:HB 465
19:H0247,19,H0247,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment to Amendment No. 8",19:HB 465
19:H0248,19,H0248,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 8 as amended",19:HB 465
19:H0249,19,H0249,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 9",19:HB 465
19:H0250,19,H0250,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 10 as amended",19:HB 465
19:H0251,19,H0251,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 12",19:HB 465
19:H0252,19,H0252,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 13",19:HB 465
19:H0253,19,H0253,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 14",19:HB 465
19:H0254,19,H0254,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 15",19:HB 465
19:H0255,19,H0255,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 16",19:HB 465
19:H0256,19,H0256,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 17",19:HB 465
19:H0257,19,H0257,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 18",19:HB 465
19:H0258,19,H0258,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 19",19:HB 465
19:H0259,19,H0259,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 20",19:HB 465
19:H0260,19,H0260,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 21",19:HB 465
19:H0261,19,H0261,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 24",19:HB 465
19:H0262,19,H0262,1996-03-25,"CSHB 465(HES) am
Second Reading
Amendment No. 25",19:HB 465
19:H0263,19,H0263,1996-03-25,"CSHB 419(STA) am S
Concur",19:HB 419
19:H0264,19,H0264,1995-04-06,"CSHB 100(FIN)
Second Reading
Amendment No. 21",19:HB 100
19:H0265,19,H0265,1995-04-06,"CSHB 100(FIN)
Second Reading
Amendment No. 22",19:HB 100
19:H0266,19,H0266,1996-03-26,"CSHB 447(RES)
Second Reading
Amendment No. 2",19:HB 447
19:H0267,19,H0267,1996-03-26,"CSHB 447(RES)
Third Reading
Final Passage",19:HB 447
19:H0268,19,H0268,1996-03-26,"CSHB 479(JUD)
Third Reading
Final Passage",19:HB 479
19:H0269,19,H0269,1996-03-26,"HB 539
Third Reading
Final Passage",19:HB 539
19:H0270,19,H0270,1996-03-26,"CSHB 73(L&C)
Third Reading
Final Passage",19:HB  73
19:H0271,19,H0271,1996-03-26,"HCS CSSB 77(FIN)
Second Reading
Advance to Third Reading",19:SB  77
19:H0272,19,H0272,1996-03-26,"CSHB 465(HES) am
Second Reading
Amendment No. 27",19:HB 465
19:H0273,19,H0273,1996-03-26,"CSHB 465(HES) am
Third Reading
Final Passage",19:HB 465
19:H0274,19,H0274,1996-03-26,"HB 540 am--RECONSIDERATION
Third Reading
Final Passage",19:HB 540
19:H0275,19,H0275,1995-04-06,"CSHB 100(FIN)
Second Reading
Amendment No. 32",19:HB 100
19:H0276,19,H0276,1996-03-27,"CSHB 542(FSH)
Third Reading
Final Passage",19:HB 542
19:H0277,19,H0277,1996-03-27,"HB 329
Second Reading
Amendment No. 1",19:HB 329
19:H0278,19,H0278,1996-03-27,"HB 329 am
Third Reading
Final Passage",19:HB 329
19:H0279,19,H0279,1996-03-27,"CSSSHB 387(JUD) am
Third Reading
Final Passage",19:HB 387
19:H0280,19,H0280,1996-03-27,"CSHB 465(HES) am--RECONSIDERATION
Return to second reading
Rescind previous action
Amendment No. 14",19:HB 465
19:H0281,19,H0281,1996-03-27,"CSHB 465(HES) am--RECONSIDERATION
Third Reading
Return to Rules",19:HB 465
19:H0282,19,H0282,1996-03-27,Uphold ruling of the Chair,
19:H0283,19,H0283,1996-03-27,"CSHB 465(HES) am--RECONSIDERATION
Third Reading
Final Passage",19:HB 465
19:H0284,19,H0284,1995-04-07,"CSHB 100(FIN)
Second Reading
Amendment No. 45",19:HB 100
19:H0285,19,H0285,1996-03-27,"CSHB 325(FIN)(title am)
Second Reading
Amendment No. 2",19:HB 325
19:H0286,19,H0286,1996-03-27,"CSHB 325(FIN)(title am)
Second Reading
Amendment No. 3",19:HB 325
19:H0287,19,H0287,1996-03-27,"CSHB 325(FIN) am
Second Reading
Amendment No. 5",19:HB 325
19:H0288,19,H0288,1996-03-27,"CSHB 325(FIN) am
Second Reading
Amendment No. 6",19:HB 325
19:H0289,19,H0289,1996-03-27,"SB 266
Third Reading
Final Passage",19:SB 266
19:H0290,19,H0290,1996-03-27,"HCS CSSB 77(FIN)
Third Reading
Final Passage",19:SB  77
19:H0291,19,H0291,1996-03-27,"HCR 32
Second Reading
Final Passage",19:HCR 32
19:H0292,19,H0292,1996-03-27,"CSHB 447(RES)--RECONSIDERATION
Third Reading
Final Passage",19:HB 447
19:H0293,19,H0293,1995-04-07,"CSHB 100(FIN)
Second Reading
Amendment No. 53",19:HB 100
